,index,Город / Нас.пункт,GPS. Широта,GPS. Долгота,номер,город,links
30,34,архангельск,64.542035,40.534404,20,Архангельск,"[""https://yandex.ru/maps/20/arhangel'sk/search/DNS/?ll=40.534404,64.542035&rspn=1&spn=0.003,0.003"", ""https://yandex.ru/maps/20/arhangel'sk/search/m_video/?ll=40.534404,64.542035&rspn=1&spn=0.003,0.003"", ""https://yandex.ru/maps/20/arhangel'sk/search/megafon/?ll=40.534404,64.542035&rspn=1&spn=0.003,0.003"", ""https://yandex.ru/maps/20/arhangel'sk/search/mts/?ll=40.534404,64.542035&rspn=1&spn=0.003,0.003"", ""https://yandex.ru/maps/20/arhangel'sk/search/svyaznoy/?ll=40.534404,64.542035&rspn=1&spn=0.003,0.003""]"
31,35,архангельск,64.510339,40.663894,20,Архангельск,"[""https://yandex.ru/maps/20/arhangel'sk/search/DNS/?ll=40.663894,64.510339&rspn=1&spn=0.003,0.003"", ""https://yandex.ru/maps/20/arhangel'sk/search/m_video/?ll=40.663894,64.510339&rspn=1&spn=0.003,0.003"", ""https://yandex.ru/maps/20/arhangel'sk/search/megafon/?ll=40.663894,64.510339&rspn=1&spn=0.003,0.003"", ""https://yandex.ru/maps/20/arhangel'sk/search/mts/?ll=40.663894,64.510339&rspn=1&spn=0.003,0.003"", ""https://yandex.ru/maps/20/arhangel'sk/search/svyaznoy/?ll=40.663894,64.510339&rspn=1&spn=0.003,0.003""]"
32,36,владимир,56.132975,40.357826,192,Владимир,"['https://yandex.ru/maps/192/vladimir/search/DNS/?ll=40.357826,56.132975&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/192/vladimir/search/m_video/?ll=40.357826,56.132975&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/192/vladimir/search/megafon/?ll=40.357826,56.132975&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/192/vladimir/search/mts/?ll=40.357826,56.132975&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/192/vladimir/search/svyaznoy/?ll=40.357826,56.132975&rspn=1&spn=0.003,0.003']"
33,37,владимир,56.148882,40.386688,192,Владимир,"['https://yandex.ru/maps/192/vladimir/search/DNS/?ll=40.386688,56.148882&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/192/vladimir/search/m_video/?ll=40.386688,56.148882&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/192/vladimir/search/megafon/?ll=40.386688,56.148882&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/192/vladimir/search/mts/?ll=40.386688,56.148882&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/192/vladimir/search/svyaznoy/?ll=40.386688,56.148882&rspn=1&spn=0.003,0.003']"
34,38,владимир,56.176925,40.45951,192,Владимир,"['https://yandex.ru/maps/192/vladimir/search/DNS/?ll=40.45951,56.176925&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/192/vladimir/search/m_video/?ll=40.45951,56.176925&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/192/vladimir/search/megafon/?ll=40.45951,56.176925&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/192/vladimir/search/mts/?ll=40.45951,56.176925&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/192/vladimir/search/svyaznoy/?ll=40.45951,56.176925&rspn=1&spn=0.003,0.003']"
35,39,владимир,56.114892,40.332488,192,Владимир,"['https://yandex.ru/maps/192/vladimir/search/DNS/?ll=40.332488,56.114892&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/192/vladimir/search/m_video/?ll=40.332488,56.114892&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/192/vladimir/search/megafon/?ll=40.332488,56.114892&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/192/vladimir/search/mts/?ll=40.332488,56.114892&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/192/vladimir/search/svyaznoy/?ll=40.332488,56.114892&rspn=1&spn=0.003,0.003']"
36,40,владимир,56.105824,40.346838,192,Владимир,"['https://yandex.ru/maps/192/vladimir/search/DNS/?ll=40.346838,56.105824&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/192/vladimir/search/m_video/?ll=40.346838,56.105824&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/192/vladimir/search/megafon/?ll=40.346838,56.105824&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/192/vladimir/search/mts/?ll=40.346838,56.105824&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/192/vladimir/search/svyaznoy/?ll=40.346838,56.105824&rspn=1&spn=0.003,0.003']"
37,41,владимир,56.14436,40.418372,192,Владимир,"['https://yandex.ru/maps/192/vladimir/search/DNS/?ll=40.418372,56.14436&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/192/vladimir/search/m_video/?ll=40.418372,56.14436&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/192/vladimir/search/megafon/?ll=40.418372,56.14436&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/192/vladimir/search/mts/?ll=40.418372,56.14436&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/192/vladimir/search/svyaznoy/?ll=40.418372,56.14436&rspn=1&spn=0.003,0.003']"
38,42,череповец,59.130291,37.92315,968,Череповец,"['https://yandex.ru/maps/968/cherepovets/search/DNS/?ll=37.92315,59.130291&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/968/cherepovets/search/m_video/?ll=37.92315,59.130291&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/968/cherepovets/search/megafon/?ll=37.92315,59.130291&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/968/cherepovets/search/mts/?ll=37.92315,59.130291&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/968/cherepovets/search/svyaznoy/?ll=37.92315,59.130291&rspn=1&spn=0.003,0.003']"
39,43,череповец,59.123306,37.929734,968,Череповец,"['https://yandex.ru/maps/968/cherepovets/search/DNS/?ll=37.929734,59.123306&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/968/cherepovets/search/m_video/?ll=37.929734,59.123306&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/968/cherepovets/search/megafon/?ll=37.929734,59.123306&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/968/cherepovets/search/mts/?ll=37.929734,59.123306&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/968/cherepovets/search/svyaznoy/?ll=37.929734,59.123306&rspn=1&spn=0.003,0.003']"
40,44,череповец,59.12015,38.000571,968,Череповец,"['https://yandex.ru/maps/968/cherepovets/search/DNS/?ll=38.000571,59.12015&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/968/cherepovets/search/m_video/?ll=38.000571,59.12015&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/968/cherepovets/search/megafon/?ll=38.000571,59.12015&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/968/cherepovets/search/mts/?ll=38.000571,59.12015&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/968/cherepovets/search/svyaznoy/?ll=38.000571,59.12015&rspn=1&spn=0.003,0.003']"
